Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2011,Adriano,17,7188,7042,14230,2712,2538,8498,3897,545,160,70,315,893,476,2141,4,1,0,2431560 .11,34,0,1360
2011,Affori,80,11497,11564,23061,3721,6276,9044,4063,609,229,201,502,1009,1226,4623,5,3,2,2070893 .65,21,2,1550
2011,Baggio,55,14029,15565,29594,4468,4545,23,7,0,230,320,607,944,2003,7741,7,3,2,3478599 .96,55,0,0
2011,Bande Nere,52,19693,23762,43455,5994,5915,7461,3288,522,347,593,918,1403,4443,12772,14,7,7,2663880 .93,73,3,0
2011,Barona,46,8090,9241,17331,2381,1944,6458,2623,485,87,253,330,286,1312,5179,3,3,1,2006324 .59,59,0,1240
2011,Bicocca,15,3502,3410,6912,1242,1076,10133,4802,608,62,44,264,372,257,1118,0,0,0,1534521 .13,39,3,3070
2011,Bovisa,77,6410,6177,12587,1834,4025,8504,3483,596,126,82,320,678,745,2337,4,2,1,1913132 .63,27,1,3470
2011,Bovisasca,81,3467,3868,7335,1089,883,1,0,0,51,97,147,152,525,1901,3,1,1,1576826 .44,23,0,0
2011,Brera,2,8247,9847,18094,2840,2523,2578,1179,176,152,146,492,676,1224,4063,6,6,5,1637395 .23,63,4,1354
2011,Bruzzano,83,5985,6256,12241,1888,2039,8439,3703,486,103,112,255,380,649,2741,3,2,1,1667691 .29,21,1,0
2011,Buenos Aires - Venezia,21,28741,32833,61574,9071,8053,10941,4908,732,490,535,1408,2244,4270,13854,10,5,4,2877542 .27,119,5,1220
2011,Cantalupa,47,234,230,464,74,67,13048,6022,1021,5,4,19,23,8,70,0,0,0,926716 .81,2,0,1460
2011,Cascina Triulza - Expo,73,306,82,388,31,33,7260,3265,580,1,1,27,94,1,13,0,0,0,1729126 .9,1,0,2204
2011,Centrale,10,8657,8807,17464,2514,4014,18298,8179,1452,156,161,449,853,1089,3514,3,4,4,1556077 .52,65,5,878
2011,Chiaravalle,34,569,539,1108,148,134,3193,1276,119,6,15,18,32,41,210,1,0,0,311640 .12,4,0,0
2011,Città Studi,22,16859,19962,36821,4890,5389,13825,6368,777,315,414,849,1386,3271,9524,7,8,5,2207487 .44,88,2,564
2011,Comasina,82,4580,4796,9376,1645,2748,6447,2550,227,91,92,207,374,711,1966,3,2,2,926734 .56,24,1,0
2011,Corsica,25,8547,10266,18813,2530,2731,10004,4460,1030,164,178,398,671,1639,4797,6,3,2,1081329 .7,35,2,1930
2011,De Angeli - Monte Rosa,58,9324,11424,20748,3139,2536,17536,7934,1222,194,199,428,747,1750,5202,3,2,3,1323078 .54,249,2,1550
2011,Dergano,79,11048,10204,21252,3394,6751,20832,9376,1140,214,157,429,1074,1110,3840,3,3,3,1358615 .04,29,3,325
2011,Duomo,1,8149,9053,17202,2780,2495,30489,13499,2056,140,145,447,795,1067,3698,4,4,3,2341704 .07,106,8,0
2011,Ex OM - Morivione,37,3611,4050,7661,1269,1151,18593,8494,1609,68,112,175,261,543,1627,2,1,1,817976 .68,10,0,510
2011,Farini,78,1993,1827,3820,537,1272,4901,2277,277,47,27,112,221,157,594,0,0,0,1010230 .89,17,0,325
2011,Figino,63,852,891,1743,270,238,500,271,24,15,16,39,54,115,349,2,2,1,1424713 .85,11,0,0
2011,Forze Armate,56,11073,12470,23543,3385,3533,9323,4117,772,187,251,513,906,1565,6044,7,5,2,3206902 .39,66,2,0
2011,Gallaratese,65,15505,17470,32975,4361,2467,15476,6907,1139,204,389,606,593,2842,11489,6,6,3,3894538 .21,87,5,2570
2011,Garibaldi Repubblica,9,2510,2772,5282,722,724,8309,3752,546,43,44,180,217,347,1087,1,0,0,785668 .25,27,2,1290
2011,Ghisolfa,70,7981,9126,17107,2596,2711,11291,5222,888,169,173,338,595,1429,3985,0,0,0,1051452 .21,32,0,203
2011,Giambellino,49,14792,16464,31256,4742,7055,2031,968,165,263,342,744,1291,2282,7287,2,2,2,1965274 .21,57,4,1890
2011,Giardini Porta Venezia,3,24,29,53,14,9,9568,4186,964,0,0,5,10,1,5,1,0,0,249646 .83,3,0,0
2011,Gratosoglio - Ticinello,41,8961,9906,18867,3041,2288,2167,953,78,87,213,396,388,1332,5605,3,4,2,3312818 .32,37,0,2153
2011,Greco,13,7128,7621,14749,2250,3269,764,480,17,147,128,415,578,1206,3417,2,2,2,1768669 .43,35,0,3460
2011,Guastalla,4,6962,8195,15157,2270,1995,4433,2012,187,121,123,322,537,1130,3596,6,7,9,1548020 .74,52,2,0
2011,Isola,11,10649,11509,22158,3103,4005,527,235,19,190,175,552,968,1474,4671,3,2,2,1322966 .34,53,1,285
2011,Lambrate,23,4986,5213,10199,1710,1987,17736,8070,1455,101,127,242,436,655,1966,4,4,2,3096861 .87,39,0,1595
2011,Lodi - Corvetto,35,17029,18360,35389,4925,7963,5271,2486,226,280,472,858,1861,2969,8971,9,7,4,3639092 .52,54,4,1680
2011,Lorenteggio,53,6108,7102,13210,2013,1688,3569,1575,195,87,189,230,335,1397,3880,5,4,3,2635327 .1,44,0,2100
2011,Loreto,20,21737,20888,42625,5946,13816,6483,2495,374,405,328,1149,2525,2342,7726,8,5,3,1747565 .53,56,2,640
2011,Maciachini - Maggiolina,12,12224,13677,25901,3668,4901,178,88,6,233,283,518,985,2059,6158,9,3,2,1674980 .95,51,1,458
2011,Magenta - S. Vittore,7,8127,9554,17681,3084,2191,308,92,15,144,164,377,624,1220,3839,7,6,4,1390146 .88,58,4,1840
2011,Maggiore - Musocco,72,2363,2537,4900,749,704,8646,3179,531,59,49,462,162,293,1237,2,2,1,3030188 .71,47,0,0
2011,Mecenate,30,8741,10242,18983,2743,2540,15397,7487,1033,130,282,372,524,2099,5906,4,4,2,3821389 .97,86,0,1940
2011,Muggiano,54,1446,1470,2916,724,170,6148,3075,514,49,12,56,96,54,300,1,1,0,444218 .42,7,0,1040
2011,Navigli,44,7902,8935,16837,2328,2378,8502,4088,525,188,149,424,787,1058,3425,4,1,0,1483927 .87,58,2,8020
2011,Niguarda - Cà Granda,14,17117,19283,36400,5156,4313,7109,3639,390,289,398,819,948,3050,10195,10,6,4,4251281 .95,115,0,859
2011,Ortomercato,29,2008,2008,4016,554,1314,7949,3050,569,30,50,99,225,325,954,1,1,0,1402519 .65,15,0,1400
