"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2010","2010",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2011","2011",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2012","2012",11.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2013","2013",11.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2014","2014",11.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2015","2015",11.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2016","2016",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2017","2017",10.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2018","2018",10.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2019","2019",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","2020","2020",7.5,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2010","2010",3057,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2011","2011",3041,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2012","2012",3018,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2013","2013",3158,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2014","2014",3106,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2015","2015",3123,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2016","2016",2783,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2017","2017",2897,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2018","2018",2910,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2019","2019",2437,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","2020","2020",2033,,
