"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2010","2010",21.7,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2011","2011",21,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2012","2012",19.9,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2013","2013",20.9,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2014","2014",23.2,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2015","2015",19.9,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2016","2016",19.7,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2017","2017",19.8,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2018","2018",21,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2019","2019",23.9,,
"IT","Italia","14_YESTRUST","gran parte della gente è degna di fiducia","HSC","per 100 persone con le stesse caratteristiche","2020","2020",23.2,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2010","2010",39449,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2011","2011",39778,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2012","2012",40633,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2013","2013",40446,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2014","2014",39229,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2015","2015",41416,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2016","2016",41108,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2017","2017",41434,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2018","2018",40919,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2019","2019",39282,,
"IT","Italia","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2020","2020",39587,,
"ITC3","Liguria","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2010","2010",1027,,
"ITC3","Liguria","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2011","2011",999,,
"ITC3","Liguria","14_NOTRUST","bisogna stare molto attenti","THV","valori in migliaia","2012","2012",997,,
